Country,Managed_By,Fulfill_Via,Vendor_INCO_Term,Shipment_Mode,PQ_First_Sent_to_Client_Date,PO_Sent_to_Vendor_Date,Scheduled_Delivery_Date,Delivered_to_Client_Date,Delivery_Recorded_Date,Product_Group,Sub_Classification,Vendor,Brand,Dosage_Form,Unit_of_Measure_(Per_Pack),Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,First_Line_Designation,Line_Item_Insurance_(USD),Freight_Cost_USD_Clean,Weight_Kilograms_Clean
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2009-04-02,2009-04-02,2009-04-02,ARV,Adult,SCMS from RDC,Others,Tablet,30,50,1312.5,26.25,0.88,Yes,2.57,286.65,5.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air,,,2009-04-30,2009-04-30,2009-04-30,ARV,Adult,SCMS from RDC,Generic,Tablet,60,5754,18412.8,3.2,0.05,Yes,36.09,3515.96,318.0
Haiti,PMO - US,From RDC,N/A - From RDC,Air,,,2009-05-19,2009-05-19,2009-05-19,ARV,Adult,SCMS from RDC,Generic,Capsule,60,108,162.0,1.5,0.02,No,0.32,3133.23,199.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,,,2009-05-08,2009-05-08,2009-05-08,ARV,Adult,SCMS from RDC,Generic,Tablet,60,1,11.4,11.4,0.19,No,0.02,15128.37,3415.0
Haiti,PMO - US,From RDC,N/A - From RDC,Air,,,2009-05-22,2009-05-22,2009-05-22,ARV,Adult,SCMS from RDC,Generic,Capsule,60,4860,7241.4,1.49,0.02,Yes,14.19,23441.88,2034.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-06-01,2009-06-01,2009-06-01,ARV,Adult,SCMS from RDC,Generic,Tablet,60,685,6000.6,8.76,0.15,Yes,11.76,1122.87,67.0
Zambia,PMO - US,From RDC,N/A - From RDC,Truck,,,2009-06-08,2009-06-08,2009-06-08,ARV,Adult,SCMS from RDC,Generic,Tablet,30,28454,312994.0,11.0,0.37,Yes,613.47,8288.78,3279.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,,,2009-06-28,2009-06-28,2009-06-28,ARV,Adult,SCMS from RDC,Generic,Tablet,60,7300,56283.0,7.71,0.13,No,110.31,3599.76,3545.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-06-23,2009-06-23,2009-06-23,ARV,Adult,SCMS from RDC,Generic,Tablet,60,10371,117710.85,11.35,0.19,Yes,230.71,7493.5,1273.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,,,2009-06-16,2009-06-16,2009-06-16,ARV,Adult,SCMS from RDC,Generic,Tablet,60,24,72.0,3.0,0.05,Yes,0.14,7329.83,21.0
Haiti,PMO - US,From RDC,N/A - From RDC,Air,,,2009-06-18,2009-06-18,2009-06-18,ARV,Pediatric,SCMS from RDC,Generic,Oral,240,3035,5827.2,1.92,0.01,Yes,11.42,7789.85,1133.0
Haiti,PMO - US,From RDC,N/A - From RDC,Air,,,2009-06-18,2009-06-18,2009-06-18,ARV,Adult,SCMS from RDC,Generic,Capsule,60,36,54.0,1.5,0.02,No,0.11,7789.88,827.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-06-23,2009-06-23,2009-06-23,ARV,Adult,SCMS from RDC,Generic,Tablet,60,6000,52560.0,8.76,0.15,Yes,103.02,3338.35,486.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-06-22,2009-06-22,2009-06-22,ARV,Adult,SCMS from RDC,Generic,Tablet,30,7300,50005.0,6.85,0.23,No,98.01,13293.41,1894.0
Zimbabwe,PMO - US,From RDC,N/A - From RDC,Truck,,,2009-06-22,2009-06-22,2009-06-22,ARV,Adult,SCMS from RDC,Generic,Tablet,60,4000,16000.0,4.0,0.07,No,31.36,14958.2,8955.0
Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,,,2009-07-08,2009-07-08,2009-07-08,ARV,Pediatric,SCMS from RDC,Generic,Oral,240,3500,6650.0,1.9,0.01,Yes,13.03,4329.01,1208.0
Côte d'Ivoire,PMO - US,From RDC,N/A - From RDC,Air,,,2009-07-14,2009-07-14,2009-07-14,ARV,Adult,SCMS from RDC,Generic,Tablet,60,13325,39975.0,3.0,0.05,No,78.35,6111.21,2634.0
Uganda,PMO - US,From RDC,N/A - From RDC,Air,,,2009-08-14,2009-08-14,2009-08-14,ARV,Adult,SCMS from RDC,Generic,Tablet,60,2844,8247.6,2.9,0.05,Yes,16.17,11206.84,1587.0
Zambia,PMO - US,From RDC,N/A - From RDC,Truck,,,2009-09-04,2009-09-04,2009-09-04,ARV,Adult,SCMS from RDC,Generic,Tablet,60,40126,285697.12,7.12,0.12,Yes,559.97,4506.2,4414.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Truck,,,2009-08-27,2009-08-27,2009-08-27,ARV,Adult,SCMS from RDC,Generic,Tablet,60,2484,21759.84,8.76,0.15,Yes,42.65,2400.25,2078.0
Mozambique,PMO - US,From RDC,N/A - From RDC,Air,,,2009-09-03,2009-09-03,2009-09-03,ARV,Adult,SCMS from RDC,Generic,Capsule,60,370,551.3,1.49,0.02,Yes,1.08,423.89,18.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,,,2009-08-04,2009-08-04,2009-08-04,ARV,Adult,SCMS from RDC,Generic,Tablet,60,4501,51311.4,11.4,0.19,Yes,100.57,7445.8,507.0
Nigeria,PMO - US,From RDC,N/A - From RDC,Air Charter,,,2009-08-04,2009-08-04,2009-08-04,ARV,Adult,SCMS from RDC,Others,Tablet,30,873,22916.25,26.25,0.88,Yes,44.92,7445.8,76.0
